Title,Info,Rating,Rating People,Comment
指环王2：双塔奇兵,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        


9.2

824019人评价


承前启后的史诗篇章。",9.2,824019人评价,承前启后的史诗篇章。
大话西游之月光宝盒,"导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        


9.0

1317233人评价",9.0,1317233人评价,N/A
死亡诗社,"导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        


9.2

829599人评价


当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。",9.2,829599人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,"导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
                        


9.1

1129333人评价


凝视卑弱生命，用电影改变命运。",9.1,1129333人评价,凝视卑弱生命，用电影改变命运。
闻香识女人,"导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        


9.1

982411人评价",9.1,982411人评价,N/A
绿皮书,"导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        


8.9

1814751人评价


去除成见，需要勇气。",8.9,1814751人评价,去除成见，需要勇气。
大闹天宫,"导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        


9.4

487361人评价",9.4,487361人评价,N/A
黑客帝国,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻
                        


9.1

911852人评价",9.1,911852人评价,N/A
罗马假日,"导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        


9.1

1015946人评价",9.1,1015946人评价,N/A
指环王1：护戒使者,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        


9.1

923590人评价",9.1,923590人评价,N/A
教父2,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        


9.3

610148人评价",9.3,610148人评价,N/A
狮子王,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞
                        


9.1

924590人评价",9.1,924590人评价,N/A
天堂电影院,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情
                        


9.2

720908人评价",9.2,720908人评价,N/A
饮食男女,"导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭
                        


9.2

687444人评价",9.2,687444人评价,N/A
辩护人,"导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情
                        


9.2

639434人评价


电影的现实意义大过电影本身。",9.2,639434人评价,电影的现实意义大过电影本身。
搏击俱乐部,"导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 / 剧情 动作 悬疑 惊悚
                        


9.0

927801人评价",9.0,927801人评价,N/A
